#ProvID; Culture; Religion; TradeGoods; Citizens; Freedmen; Slaves; Tribesmen; Civilization; Barbarian; NameRef;AraRef
1,roman,roman_pantheon,cloth,0,0,0,0,0,0,Roma,noregion
2,roman,roman_pantheon,cloth,0,0,0,0,0,0,Tibur,noregion
3,roman,roman_pantheon,cloth,0,0,0,0,0,0,Lavinium,noregion
4,roman,roman_pantheon,cloth,0,0,0,0,0,0,Circeii,noregion
5,roman,roman_pantheon,cloth,0,0,0,0,0,0,Fundi,noregion
6,roman,roman_pantheon,cloth,0,0,0,0,0,0,Capua,noregion
7,yucatec,roman_pantheon,cloth,0,0,0,0,0,0,Neapolis,noregion
8,dixie,roman_pantheon,cloth,0,0,0,0,0,0,Saticula,noregion
9,roman,roman_pantheon,cloth,0,0,0,0,0,0,Pompeii,noregion
10,roman,roman_pantheon,cloth,0,0,0,0,0,0,Salernum,noregion
11,roman,roman_pantheon,cloth,0,0,0,0,0,0,Paestum,noregion
12,roman,roman_pantheon,cloth,0,0,0,0,0,0,Velia,noregion
13,roman,roman_pantheon,cloth,0,0,0,0,0,0,Blanda,noregion
14,roman,roman_pantheon,cloth,0,0,0,0,0,0,Caere,noregion
15,roman,roman_pantheon,cloth,0,0,0,0,0,0,Ostia,noregion
16,roman,roman_pantheon,cloth,0,0,0,0,0,0,Veii,noregion
17,yucatec,roman_pantheon,cloth,0,0,0,0,0,0,Tarquini,noregion
18,roman,roman_pantheon,cloth,0,0,0,0,0,0,Nepete,noregion
19,tsang,roman_pantheon,cloth,0,0,0,0,0,0,Carsioli,noregion
20,roman,roman_pantheon,cloth,0,0,0,0,0,0,Cures,noregion
21,circassian,roman_pantheon,cloth,0,0,0,0,0,0,Visentium,noregion
22,roman,roman_pantheon,cloth,0,0,0,0,0,0,Cosae,noregion
23,roman,roman_pantheon,cloth,0,0,0,0,0,0,Narnia,noregion
24,nogai,roman_pantheon,cloth,0,0,0,0,0,0,Peltuinum,noregion
25,aizi-siamou,roman_pantheon,cloth,0,0,0,0,0,0,Norba,noregion
26,roman,roman_pantheon,cloth,0,0,0,0,0,0,Fregellae,noregion
